count_collected_demos: 216956
len_dataset: 216956
max distance value: 214.90545654296875
Total Parameters: 2923.0M
Trainable Parameters: 2508.0M
Trainable Parameters %: 85.81%
Total Parameters: 2923.0M
Trainable Parameters: 2508.0M
Trainable Parameters %: 85.81%
decode_indices shape: (895,)
first_targets shape: (16, 90, 257152)
input_token_embeddings shape: (16, 3460, 2048)
attn_mask shape: (16, 3460, 3460)
loss_mask shape: (16, 179)
targets shape: (16, 179, 257152)
pre_logits shape: (16, 3459, 2048)
logits shape: (16, 179, 257152)
new_logits shape: (16, 179, 257152)
logp shape: (16, 179, 257152)
token_pplx shape: (16, 179)
loss shape: (16,)
Step 0: grad_norm=82.30136108398438, loss=7.110974311828613, param_norm=1665.177490234375
Step 1: grad_norm=84.11129760742188, loss=7.099617958068848, param_norm=1665.177490234375
Step 2: grad_norm=83.69326782226562, loss=7.017064571380615, param_norm=1665.177490234375
Step 3: grad_norm=65.42461395263672, loss=6.93260383605957, param_norm=1665.177490234375
Step 4: grad_norm=55.20392608642578, loss=6.696132659912109, param_norm=1665.177490234375
Step 5: grad_norm=48.38284683227539, loss=6.21755313873291, param_norm=1665.177490234375
Step 6: grad_norm=41.533897399902344, loss=6.2280755043029785, param_norm=1665.1776123046875
Step 7: grad_norm=39.61259841918945, loss=5.9642252922058105, param_norm=1665.177490234375
Step 8: grad_norm=33.63703155517578, loss=5.814691543579102, param_norm=1665.177490234375
Step 9: grad_norm=27.93329620361328, loss=5.82061767578125, param_norm=1665.177490234375
Step 10: grad_norm=29.35854148864746, loss=5.5727219581604, param_norm=1665.177490234375
Step 11: grad_norm=17.826581954956055, loss=5.611550331115723, param_norm=1665.177490234375
Step 12: grad_norm=26.690662384033203, loss=5.325466156005859, param_norm=1665.177490234375
Step 13: grad_norm=20.628414154052734, loss=5.541131973266602, param_norm=1665.177490234375
Step 14: grad_norm=19.96207046508789, loss=5.143535137176514, param_norm=1665.177490234375
Step 15: grad_norm=16.44752311706543, loss=5.076348304748535, param_norm=1665.177490234375
Step 16: grad_norm=17.157894134521484, loss=5.081155776977539, param_norm=1665.177490234375
Step 17: grad_norm=15.523975372314453, loss=4.95848274230957, param_norm=1665.177490234375
Step 18: grad_norm=10.013306617736816, loss=5.139133453369141, param_norm=1665.177490234375
Step 19: grad_norm=11.430924415588379, loss=5.075599670410156, param_norm=1665.177490234375
Step 20: grad_norm=12.014756202697754, loss=4.940289497375488, param_norm=1665.177490234375
Step 21: grad_norm=12.310483932495117, loss=4.924459457397461, param_norm=1665.177490234375
Step 22: grad_norm=13.433860778808594, loss=4.897640228271484, param_norm=1665.177490234375
Step 23: grad_norm=11.702589988708496, loss=4.988645553588867, param_norm=1665.177490234375
Step 24: grad_norm=14.976921081542969, loss=4.909682273864746, param_norm=1665.177490234375
Step 25: grad_norm=9.342097282409668, loss=4.8932695388793945, param_norm=1665.177490234375
Step 26: grad_norm=10.748205184936523, loss=4.876458168029785, param_norm=1665.177490234375
Step 27: grad_norm=12.917498588562012, loss=4.81450080871582, param_norm=1665.177490234375
Step 28: grad_norm=11.24279499053955, loss=4.893811225891113, param_norm=1665.177490234375
Step 29: grad_norm=13.273880004882812, loss=4.699219703674316, param_norm=1665.177490234375
Step 30: grad_norm=10.566089630126953, loss=4.97554874420166, param_norm=1665.177490234375
